YEAR	JAN	FEB	MAR	APRIL	MAY	JUNE	JULY	AUGUST	SEPTEMBER	OCTOBER	NOV	DEC	TOTAL*
2000	45"	116"	33"	62"	0"	0"	0"	0"	0"	0"	20"	30"	305"
2001	50"	30"	93"	27"	0"	0"	0"	0"	0"	0"	40"	129"	369"
2002	18"	24"	25"	112"	0"	0"	0"	0"	0"	0"	43"	150"	372"
2003	47"	87"	15"	14"	0"	0"	0"	0"	0"	0"	21"	127"	311"
2004	125"	54"	97"	25"	0"	0"	0"	0"	0"	0"	21"	86"	406"
2005	107"	47"	177"	104"	0"	0"	0"	0"	0"	0"	20"	70"	504"
2006	13"	105"	17"	39"	0"	0"	0"	0"	0"	0"	0"	49"	248"
2008	148"	88"	20"	14"	0"	0"	0"	0"	0"	0"	25"	56"	335"
2008	40"	103"	84"	18"	0"	0"	0"	0"	0"	0"	9"	112"	383"
2009	107"	45"	75"	97"	0"	0"	0"	0"	0"	0"	26"	91"	424"
2010	19"	134"	215"	48"	0"	0"	0"	0"	0"	0"	104"	157"	678"
2011	40"	39"	127"	58"	0"	0"	0"	0"	0"	0"	12"	0"	276"
2012	11"	13"	39"	13"	0"	0"	0"	0"	0"	0"	65"	127"	267"
2013	14"	99"	66"	52"	0"	0"	0"	0"	0"	0"	10"	26"	266"
2014	2"	43"	23"	37"	0"	0"	0"	0"	0"	0"	22"	83"	209"
2015	128"	40"	141"	27"	0"	0"	0"	0"	0"	0"	54"	129"	518"
2016	274"	193"	89"	62"	0"	0"	0"	0"	0"	0"	48"	41"	707"
2017	48"	45"	237"	21"	0"	0"	0"	0"	0"	0"	24"	11"	386"
2018	136"	310"	83"	25"	0"	0"	0"	0"	0"	0"	56"	43"	652"
2019	57"	3"	137"	25"	0"	0"	0"	0"	0"	0"	40"	113"	374"
2020	86"	48"	57"	9"	0"	0"	0"	0"	0"	0"	38"	45"	281"
2021	4"	20"	20"	86"	0"	0"	0"	0"	0"	0"	8"	212"	350"
2022	172"	132"	191"	18"	0"	0"	0"	0"	0"	0"	50"	146"	723"
